,Unnamed: 0.1,Unnamed: 0,제목,저자,초록,게재일,한 줄 요약,키워드
25,25,25,Sample-Efficient Human Evaluation of Large Language Models via Maximum Discrepancy Competition,"['Kehua Feng', 'Keyan Ding', 'Kede Ma', 'Zhihua Wang', 'Qiang Zhang', 'Huajun Chen']","The past years have witnessed a proliferation of large language models (LLMs). Yet, automated and unbiased evaluation of LLMs is challenging due to the inaccuracy of standard metrics in reflecting human preferences and the inefficiency in sampling informative and diverse test examples. While human evaluation remains the gold standard, it is expensive and time-consuming, especially when dealing with a large number of testing samples. To address this problem, we propose a sample-efficient human evaluation method based on MAximum Discrepancy (MAD) competition. MAD automatically selects a small set of informative and diverse instructions, each adapted to two LLMs, whose responses are subject to three-alternative forced choice by human subjects. The pairwise comparison results are then aggregated into a global ranking using the Elo rating system. We select eight representative LLMs and compare them in terms of four skills: knowledge understanding, mathematical reasoning, writing, and coding. Experimental results show that the proposed method achieves a reliable and sensible ranking of LLMs' capabilities, identifies their relative strengths and weaknesses, and offers valuable insights for further LLM advancement.","Wed, 10 Apr 2024 01:26:24 UTC",": large language models, automated evaluation, unbiased evaluation, human evaluation, MAximum Discrepancy (MAD) competition, Elo rating system, knowledge understanding, mathematical reasoning, writing, coding.

한국어 요약: 대규모 언어 모델(Large Language Models, LLMs)의 폭발적인 증가에도 불구하고, 자동화된 그리고 편향되지 않은 LLMs의 평가는 인간의 선호도를 반영하는 표준 지표의 부정확성과 정보적이고 다양한 테스트 예제를 샘플링하는 효율성의 한계로 어려움을 겪고 있습니다.","['large language models', 'automated evaluation', 'unbiased evaluation', 'human evaluation', 'MAximum Discrepancy (MAD) competition', 'Elo rating system', 'knowledge understanding', 'mathematical reasoning', 'writing', 'coding.']"
26,26,26,Xiwu: A Basis Flexible and Learnable LLM for High Energy Physics,"['Zhengde Zhang', 'Yiyu Zhang', 'Haodong Yao', 'Jianwen Luo', 'Rui Zhao', 'Bo Huang', 'Jiameng Zhao', 'Yipu Liao', 'Ke Li', 'Lina Zhao', 'Jun Cao', 'Fazhi Qi', 'Changzheng Yuan']","Large Language Models (LLMs) are undergoing a period of rapid updates and changes, with state-of-the-art (SOTA) model frequently being replaced. When applying LLMs to a specific scientific field, it's challenging to acquire unique domain knowledge while keeping the model itself advanced. To address this challenge, a sophisticated large language model system named as Xiwu has been developed, allowing you switch between the most advanced foundation models and quickly teach the model domain knowledge. In this work, we will report on the best practices for applying LLMs in the field of high-energy physics (HEP), including: a seed fission technology is proposed and some data collection and cleaning tools are developed to quickly obtain domain AI-Ready dataset; a just-in-time learning system is implemented based on the vector store technology; an on-the-fly fine-tuning system has been developed to facilitate rapid training under a specified foundation model. The results show that Xiwu can smoothly switch between foundation models such as LLaMA, Vicuna, ChatGLM and Grok-1. The trained Xiwu model is significantly outperformed the benchmark model on the HEP knowledge question-and-answering and code generation. This strategy significantly enhances the potential for growth of our model's performance, with the hope of surpassing GPT-4 as it evolves with the development of open-source models. This work provides a customized LLM for the field of HEP, while also offering references for applying LLM to other fields, the corresponding codes are available on Github.","Mon, 8 Apr 2024 07:37:31 UTC ",": Large Language Models, Xiwu, high-energy physics, AI-Ready dataset, just-in-time learning, fine-tuning, benchmark model, GPT-4, open-source models, Github.

한국어 요약: 대형 언어 모델은 빠르게 업데이트되고 변화하고 있으며, 특정 과학 분야에 적용할 때 도메인 지식을 획득하면서 모델 자체를 최신 상태로 유지하는 것이 어려운데, 이를 해결하기 위해 Xiwu라는 고도로 발전된 대형 언어 모델 시스템이 개발되었으며, 이를 통해 고에너지 물리학 분야에 적용하는데 있어서 가장 좋은 방법론을 보고하고 있습니다.","['Large Language Models', 'Xiwu', 'high-energy physics', 'AI-Ready dataset', 'just-in-time learning', 'fine-tuning', 'benchmark model', 'GPT-4', 'open-source models', 'Github.']"
27,27,27,OpenBias: Open-set Bias Detection in Text-to-Image Generative Models,"[""Moreno D'Incà"", 'Elia Peruzzo', 'Massimiliano Mancini', 'Dejia Xu', 'Vidit Goel', 'Xingqian Xu', 'Zhangyang Wang', 'Humphrey Shi', 'Nicu Sebe']","Text-to-image generative models are becoming increasingly popular and accessible to the general public. As these models see large-scale deployments, it is necessary to deeply investigate their safety and fairness to not disseminate and perpetuate any kind of biases. However, existing works focus on detecting closed sets of biases defined a priori, limiting the studies to well-known concepts. In this paper, we tackle the challenge of open-set bias detection in text-to-image generative models presenting OpenBias, a new pipeline that identifies and quantifies the severity of biases agnostically, without access to any precompiled set. OpenBias has three stages. In the first phase, we leverage a Large Language Model (LLM) to propose biases given a set of captions. Secondly, the target generative model produces images using the same set of captions. Lastly, a Vision Question Answering model recognizes the presence and extent of the previously proposed biases. We study the behavior of Stable Diffusion 1.5, 2, and XL emphasizing new biases, never investigated before. Via quantitative experiments, we demonstrate that OpenBias agrees with current closed-set bias detection methods and human judgement.","Thu, 11 Apr 2024 17:59:56 UTC",": Text-to-image generative models, safety, fairness, biases, OpenBias, Large Language Model (LLM), Vision Question Answering model, Stable Diffusion.

한국어 요약: 텍스트-이미지 생성 모델의 안전성과 공정성을 탐구하기 위해 OpenBias라는 새로운 파이프라인을 제안하고, 이를 통해 새로운 편향을 객관적으로 식별하고 측정하는 연구를 수행하였습니다.","['Text-to-image generative models', 'safety', 'fairness', 'biases', 'OpenBias', 'Large Language Model (LLM)', 'Vision Question Answering model', 'Stable Diffusion.']"
28,28,28,Manipulating Large Language Models to Increase Product Visibility,"['Aounon Kumar', 'Himabindu Lakkaraju']","Large language models (LLMs) are increasingly being integrated into search engines to provide natural language responses tailored to user queries. Customers and end-users are also becoming more dependent on these models for quick and easy purchase decisions. In this work, we investigate whether recommendations from LLMs can be manipulated to enhance a product's visibility. We demonstrate that adding a strategic text sequence (STS) -- a carefully crafted message -- to a product's information page can significantly increase its likelihood of being listed as the LLM's top recommendation. To understand the impact of STS, we use a catalog of fictitious coffee machines and analyze its effect on two target products: one that seldom appears in the LLM's recommendations and another that usually ranks second. We observe that the strategic text sequence significantly enhances the visibility of both products by increasing their chances of appearing as the top recommendation. This ability to manipulate LLM-generated search responses provides vendors with a considerable competitive advantage and has the potential to disrupt fair market competition. Just as search engine optimization (SEO) revolutionized how webpages are customized to rank higher in search engine results, influencing LLM recommendations could profoundly impact content optimization for AI-driven search services. Code for our experiments is available at this https URL.","Thu, 11 Apr 2024 17:57:32 UTC",": Large language models, search engines, product visibility, strategic text sequence, recommendations, competitive advantage, search engine optimization, AI-driven search services.

한국어 요약: 대형 언어 모델(Large language models, LLMs)이 검색 엔진에 통합되어 사용자 쿼리에 맞춘 자연어 응답을 제공하는데 사용되고 있으며, 제품의 가시성을 향상시키기 위해 LLM의 권장 사항을 조작할 수 있는지 조사하는 연구입니다.","['Large language models', 'search engines', 'product visibility', 'strategic text sequence', 'recommendations', 'competitive advantage', 'search engine optimization', 'AI-driven search services.']"
29,29,29,LLoCO: Learning Long Contexts Offline,"['Sijun Tan', 'Xiuyu Li', 'Shishir Patil', 'Ziyang Wu', 'Tianjun Zhang', 'Kurt Keutzer', 'Joseph E. Gonzalez', 'Raluca Ada Popa']","Processing long contexts remains a challenge for large language models (LLMs) due to the quadratic computational and memory overhead of the self-attention mechanism and the substantial KV cache sizes during generation. We propose a novel approach to address this problem by learning contexts offline through context compression and in-domain parameter-efficient finetuning. Our method enables an LLM to create a concise representation of the original context and efficiently retrieve relevant information to answer questions accurately. We introduce LLoCO, a technique that combines context compression, retrieval, and parameter-efficient finetuning using LoRA. Our approach extends the effective context window of a 4k token LLaMA2-7B model to handle up to 128k tokens. We evaluate our approach on several long-context question-answering datasets, demonstrating that LLoCO significantly outperforms in-context learning while using 30\times fewer tokens during inference. LLoCO achieves up to 7.62\times speed-up and substantially reduces the cost of long document question answering, making it a promising solution for efficient long context processing. Our code is publicly available at this https URL.","Thu, 11 Apr 2024 17:57:22 UTC",": large language models, context compression, parameter-efficient finetuning, LLoCO, long-context question-answering datasets, inference

요약: LLoCO는 컨텍스트 압축, 검색 및 매개변수 효율적인 미세조정을 결합하여 LLM이 원래 컨텍스트의 간결한 표현을 만들고 질문에 정확하게 답변하기 위해 관련 정보를 효율적으로 검색할 수 있도록 하는 혁신적인 접근 방식으로, LLaMA2-7B 모델의 효과적인 컨텍스트 창을 128k 토큰까지 처리할 수 있도록 확장하며, 30배 적은 토큰을 사용하여 추론 중에 뛰어난 성능을 보이며, 비용을 크게 줄여 효율적인 장문 컨","['large language models', 'context compression', 'parameter-efficient finetuning', 'LLoCO', 'long-context question-answering datasets', 'inference']"
30,30,30,Ferret-v2: An Improved Baseline for Referring and Grounding with Large Language Models,"['Haotian Zhang', 'Haoxuan You', 'Philipp Dufter', 'Bowen Zhang', 'Chen Chen', 'Hong-You Chen', 'Tsu-Jui Fu', 'William Yang Wang', 'Shih-Fu Chang', 'Zhe Gan', 'Yinfei Yang']","While Ferret seamlessly integrates regional understanding into the Large Language Model (LLM) to facilitate its referring and grounding capability, it poses certain limitations: constrained by the pre-trained fixed visual encoder and failed to perform well on broader tasks. In this work, we unveil Ferret-v2, a significant upgrade to Ferret, with three key designs. (1) Any resolution grounding and referring: A flexible approach that effortlessly handles higher image resolution, improving the model's ability to process and understand images in greater detail. (2) Multi-granularity visual encoding: By integrating the additional DINOv2 encoder, the model learns better and diverse underlying contexts for global and fine-grained visual information. (3) A three-stage training paradigm: Besides image-caption alignment, an additional stage is proposed for high-resolution dense alignment before the final instruction tuning. Experiments show that Ferret-v2 provides substantial improvements over Ferret and other state-of-the-art methods, thanks to its high-resolution scaling and fine-grained visual processing.","Thu, 11 Apr 2024 17:56:05 UTC",": Ferret, Large Language Model (LLM), Ferret-v2, regional understanding, visual encoder, image resolution, visual encoding, three-stage training paradigm, high-resolution scaling, fine-grained visual processing

한국어 요약: Ferret-v2는 Ferret의 중요한 업그레이드로, 고해상도 처리와 세밀한 시각적 처리를 통해 Ferret 및 최신 기술들보다 상당한 개선을 제공하며 이미지를 더 자세히 처리하고 이해하는 모델의 능력을 향상시킵니다.","['Ferret', 'Large Language Model (LLM)', 'Ferret-v2', 'regional understanding', 'visual encoder', 'image resolution', 'visual encoding', 'three-stage training paradigm', 'high-resolution scaling', 'fine-grained visual processing']"
31,31,31,OSWorld: Benchmarking Multimodal Agents for Open-Ended Tasks in Real Computer Environments,"['Tianbao Xie', 'Danyang Zhang', 'Jixuan Chen', 'Xiaochuan Li', 'Siheng Zhao', 'Ruisheng Cao', 'Toh Jing Hua', 'Zhoujun Cheng', 'Dongchan Shin', 'Fangyu Lei', 'Yitao Liu', 'Yiheng Xu', 'Shuyan Zhou', 'Silvio Savarese', 'Caiming Xiong', 'Victor Zhong', 'Tao Yu']","Autonomous agents that accomplish complex computer tasks with minimal human interventions have the potential to transform human-computer interaction, significantly enhancing accessibility and productivity. However, existing benchmarks either lack an interactive environment or are limited to environments specific to certain applications or domains, failing to reflect the diverse and complex nature of real-world computer use, thereby limiting the scope of tasks and agent scalability. To address this issue, we introduce OSWorld, the first-of-its-kind scalable, real computer environment for multimodal agents, supporting task setup, execution-based evaluation, and interactive learning across various operating systems such as Ubuntu, Windows, and macOS. OSWorld can serve as a unified, integrated computer environment for assessing open-ended computer tasks that involve arbitrary applications. Building upon OSWorld, we create a benchmark of 369 computer tasks involving real web and desktop apps in open domains, OS file I/O, and workflows spanning multiple applications. Each task example is derived from real-world computer use cases and includes a detailed initial state setup configuration and a custom execution-based evaluation script for reliable, reproducible evaluation. Extensive evaluation of state-of-the-art LLM/VLM-based agents on OSWorld reveals significant deficiencies in their ability to serve as computer assistants. While humans can accomplish over 72.36% of the tasks, the best model achieves only 12.24% success, primarily struggling with GUI grounding and operational knowledge. Comprehensive analysis using OSWorld provides valuable insights for developing multimodal generalist agents that were not possible with previous benchmarks. Our code, environment, baseline models, and data are publicly available at this https URL.","Thu, 11 Apr 2024 17:56:05 UTC",": Autonomous agents, human-computer interaction, benchmarks, OSWorld, multimodal agents, operating systems, computer tasks, computer use cases, evaluation.

한국어 요약: OSWorld는 Ubuntu, Windows, macOS 등 다양한 운영 체제에서 작업 설정, 실행 기반 평가, 상호 작용 학습을 지원하는 첫 번째 실제 컴퓨터 환경으로, 실제 웹 및 데스크톱 앱, 운영 체제 파일 I/O, 다중 애플리케이션을 포함한 369가지 컴퓨터 작업에 대한 벤치마크를 만들어 상호 작용적인 컴퓨터 작업을 평가하는 통합된 컴퓨터 환경으로 활용될 수 있음을 보여줍니다.","['Autonomous agents', 'human-computer interaction', 'benchmarks', 'OSWorld', 'multimodal agents', 'operating systems', 'computer tasks', 'computer use cases', 'evaluation.']"
32,32,32,EduAgent: Generative Student Agents in Learning,"['Songlin Xu', 'Xinyu Zhang', 'Lianhui Qin']","Student simulation in online education is important to address dynamic learning behaviors of students with diverse backgrounds. Existing simulation models based on deep learning usually need massive training data, lacking prior knowledge in educational contexts. Large language models (LLMs) may contain such prior knowledge since they are pre-trained from a large corpus. However, because student behaviors are dynamic and multifaceted with individual differences, directly prompting LLMs is not robust nor accurate enough to capture fine-grained interactions among diverse student personas, learning behaviors, and learning outcomes. This work tackles this problem by presenting a newly annotated fine-grained large-scale dataset and proposing EduAgent, a novel generative agent framework incorporating cognitive prior knowledge (i.e., theoretical findings revealed in cognitive science) to guide LLMs to first reason correlations among various behaviors and then make simulations. Our two experiments show that EduAgent could not only mimic and predict learning behaviors of real students but also generate realistic learning behaviors of virtual students without real data.","Sat, 23 Mar 2024 18:19:17 UTC","다양한 학생들의 동적 학습 행동을 다루기 위해 새로운 세부적인 대규모 데이터셋을 제시하고, 인지 과학에서 밝혀진 이론적 결과를 활용하여 대규모 언어 모델을 이끌어 다양한 행동들 간의 상관관계를 이해하고 시뮬레이션을 만들어내는 새로운 생성 에이전트 프레임워크인 EduAgent를 제안한 연구입니다.","['Student simulation', 'online education', 'deep learning', 'large language models', 'fine-grained interactions', 'diverse student personas', 'cognitive prior knowledge', 'generative agent framework', 'learning behaviors.']"
33,33,33,Content Knowledge Identification with Multi-Agent Large Language Models (LLMs),"['Kaiqi Yang', 'Yucheng Chu', 'Taylor Darwin', 'Ahreum Han', 'Hang Li', 'Hongzhi Wen', 'Yasemin Copur-Gencturk', 'Jiliang Tang', 'Hui Liu']","Teachers' mathematical content knowledge (CK) is of vital importance and need in teacher professional development (PD) programs. Computer-aided asynchronous PD systems are the most recent proposed PD techniques, which aim to help teachers improve their PD equally with fewer concerns about costs and limitations of time or location. However, current automatic CK identification methods, which serve as one of the core techniques of asynchronous PD systems, face challenges such as diversity of user responses, scarcity of high-quality annotated data, and low interpretability of the predictions. To tackle these challenges, we propose a Multi-Agent LLMs-based framework, LLMAgent-CK, to assess the user responses' coverage of identified CK learning goals without human annotations. By taking advantage of multi-agent LLMs in strong generalization ability and human-like discussions, our proposed LLMAgent-CK presents promising CK identifying performance on a real-world mathematical CK dataset MaCKT. Moreover, our case studies further demonstrate the working of the multi-agent framework.","Fri, 22 Mar 2024 02:37:33 UTC",": Teachers, mathematical content knowledge, teacher professional development, computer-aided asynchronous PD systems, CK identification methods, Multi-Agent LLMs-based framework, LLMAgent-CK, user responses, CK learning goals, real-world mathematical CK dataset MaCKT.

한줄 요약: 교사들의 수학 콘텐츠 지식은 교사 전문 개발 프로그램에서 중요한 역할을 하며, 다양한 사용자 응답과 고품질 주석 데이터 부족 등의 도전에 직면한 현재의 자동 CK 식별 방법을 극복하기 위해 Multi-Agent LLMs 기반 프레임워크인 LLMAgent-CK를 제안하고 있습니다.","['Teachers', 'mathematical content knowledge', 'teacher professional development', 'computer-aided asynchronous PD systems', 'CK identification methods', 'Multi-Agent LLMs-based framework', 'LLMAgent-CK', 'user responses', 'CK learning goals', 'real-world mathematical CK dataset MaCKT.']"
34,34,34,ExeGPT: Constraint-Aware Resource Scheduling for LLM Inference,"['Hyungjun Oh', 'Kihong Kim', 'Jaemin Kim', 'Sungkyun Kim', 'Junyeol Lee', 'Du-seong Chang', 'Jiwon Seo']","This paper presents ExeGPT, a distributed system designed for constraint-aware LLM inference. ExeGPT finds and runs with an optimal execution schedule to maximize inference throughput while satisfying a given latency constraint. By leveraging the distribution of input and output sequences, it effectively allocates resources and determines optimal execution configurations, including batch sizes and partial tensor parallelism. We also introduce two scheduling strategies based on Round-Robin Allocation and Workload-Aware Allocation policies, suitable for different NLP workloads. We evaluate ExeGPT on six LLM instances of T5, OPT, and GPT-3 and five NLP tasks, each with four distinct latency constraints. Compared to FasterTransformer, ExeGPT achieves up to 15.2x improvements in throughput and 6x improvements in latency. Overall, ExeGPT achieves an average throughput gain of 2.9x across twenty evaluation scenarios. Moreover, when adapting to changing sequence distributions, the cost of adjusting the schedule in ExeGPT is reasonably modest. ExeGPT proves to be an effective solution for optimizing and executing LLM inference for diverse NLP workload and serving conditions.","Fri, 15 Mar 2024 06:21:56 UTC","ExeGPT는 분산 시스템으로, 제약 조건을 고려한 LLM 추론을 최적화하기 위해 실행 일정을 찾고 실행하여 추론 처리량을 최대화하며 주어진 지연 제약 조건을 충족시키는데 도움을 줍니다.","['ExeGPT', 'distributed system', 'constraint-aware LLM inference', 'optimal execution schedule', 'throughput', 'latency constraint', 'resource allocation', 'scheduling strategies', 'NLP workloads', 'evaluation scenarios.']"
35,35,35,InfiCoder-Eval: Systematically Evaluating the Question-Answering Capabilities of Code Large Language Models,"['Linyi Li', 'Shijie Geng', 'Zhenwen Li', 'Yibo He', 'Hao Yu', 'Ziyue Hua', 'Guanghan Ning', 'Siwei Wang', 'Tao Xie', 'Hongxia Yang']","Large Language Models for understanding and generating code (code LLMs) have witnessed tremendous progress in recent years. With the rapid development of code LLMs, many popular evaluation benchmarks, such as HumanEval, DS-1000, and MBPP, have emerged to measure the performance of code LLMs with a particular focus on code generation tasks. However, they are insufficient to cover the full range of expected capabilities of code LLMs, which span beyond code generation to answering diverse coding-related questions. To fill this gap, we propose InfiCoder-Eval, a large-scale freeform question-answering (QA) benchmark for code, comprising 234 carefully selected high-quality Stack Overflow questions that span across 15 programming languages. To evaluate the response correctness, InfiCoder-Eval supports four types of model-free metrics and domain experts carefully choose and concretize the criterion for each question. We conduct a systematic evaluation for more than 80 code LLMs on InfiCoder-Eval, leading to a series of insightful findings. Furthermore, our detailed analyses showcase possible directions for further improvement of code LLMs. InfiCoder-Eval is fully open source at this https URL and continuously maintaining and expanding to foster more scientific and systematic practices for evaluating code LLMs.","Mon, 11 Mar 2024 02:06:30 UTC",": Large Language Models, code understanding, code generation tasks, evaluation benchmarks, InfiCoder-Eval, question-answering benchmark, Stack Overflow questions, programming languages, model-free metrics, systematic evaluation, code LLMs improvement.

Summary in Korean: 최근 몇 년간 코드 이해 및 생성을 위한 대규모 언어 모델인 코드 LLMs가 엄청난 발전을 이루었으며, 이에 대한 성능 측정을 위해 InfiCoder-Eval이라는 대규모 자유형 질문응답(QA) 벤치마크가 제안되었으며, 이를 통해 코드 LLMs의 평가 및 개선 가능성에 대한 연구가 이루어지고 있습니다.","['Large Language Models', 'code understanding', 'code generation tasks', 'evaluation benchmarks', 'InfiCoder-Eval', 'question-answering benchmark', 'Stack Overflow questions', 'programming languages', 'model-free metrics', 'systematic evaluation', 'code LLMs improvement.']"
36,36,36,Leveraging Large Language Models (LLMs) to Support Collaborative Human-AI Online Risk Data Annotation,"['Jinkyung Park', 'Pamela Wisniewski', 'Vivek Singh']","In this position paper, we discuss the potential for leveraging LLMs as interactive research tools to facilitate collaboration between human coders and AI to effectively annotate online risk data at scale. Collaborative human-AI labeling is a promising approach to annotating large-scale and complex data for various tasks. Yet, tools and methods to support effective human-AI collaboration for data annotation are under-studied. This gap is pertinent because co-labeling tasks need to support a two-way interactive discussion that can add nuance and context, particularly in the context of online risk, which is highly subjective and contextualized. Therefore, we provide some of the early benefits and challenges of using LLMs-based tools for risk annotation and suggest future directions for the HCI research community to leverage LLMs as research tools to facilitate human-AI collaboration in contextualized online data annotation. Our research interests align very well with the purposes of the LLMs as Research Tools workshop to identify ongoing applications and challenges of using LLMs to work with data in HCI research. We anticipate learning valuable insights from organizers and participants into how LLMs can help reshape the HCI community's methods for working with data.","Thu, 11 Apr 2024 17:20:57 UTC",": LLMs, interactive research tools, collaboration, human-AI labeling, online risk data, data annotation, co-labeling tasks, contextualized data, HCI research community.

Summary in Korean: 이 포지션 논문에서는 LLMs를 상호작용적인 연구 도구로 활용하여 인간 코더와 AI 간 협력을 촉진하여 온라인 위험 데이터를 효과적으로 주석 처리하는 잠재력에 대해 논의하며, 온라인 위험에 대한 문맥화된 데이터 주석을 위한 LLMs 기반 도구의 이점과 도전에 대해 제시하고 HCI 연구 커뮤니티에게 LLMs를 연구 도구로 활용하여 인간-AI 협력을 촉진하는 방향을 제안합니다.","['LLMs', 'interactive research tools', 'collaboration', 'human-AI labeling', 'online risk data', 'data annotation', 'co-labeling tasks', 'contextualized data', 'HCI research community.']"
37,37,37,LaVy: Vietnamese Multimodal Large Language Model,"['Chi Tran', 'Huong Le Thanh']","Large Language Models (LLMs) and Multimodal Large language models (MLLMs) have taken the world by storm with impressive abilities in complex reasoning and linguistic comprehension. Meanwhile there are plethora of works related to Vietnamese Large Language Models, the lack of high-quality resources in multimodality limits the progress of Vietnamese MLLMs. In this paper, we pioneer in address this by introducing LaVy, a state-of-the-art Vietnamese MLLM, and we also introduce LaVy-Bench benchmark designated for evaluating MLLMs's understanding on Vietnamese visual language tasks. All code and model weights are public at this https URL","Thu, 11 Apr 2024 17:09:28 UTC",": Large Language Models, Multimodal Large Language Models, Vietnamese, LaVy, MLLMs, benchmark.

한줄 요약: 베트남어 다중언어 대형 언어 모델에 대한 높은 품질의 리소스 부족으로 인해 발전이 제한되었으나, 이 논문에서는 LaVy라는 베트남어 다중언어 대형 언어 모델을 소개하고, 베트남어 시각 언어 작업에 대한 MLLMs의 이해를 평가하기 위한 벤치마크인 LaVy-Bench를 소개합니다.","['Large Language Models', 'Multimodal Large Language Models', 'Vietnamese', 'LaVy', 'MLLMs', 'benchmark.']"
38,38,38,AmpleGCG: Learning a Universal and Transferable Generative Model of Adversarial Suffixes for Jailbreaking Both Open and Closed LLMs,"['Zeyi Liao', 'Huan Sun']","As large language models (LLMs) become increasingly prevalent and integrated into autonomous systems, ensuring their safety is imperative. Despite significant strides toward safety alignment, recent work GCG~\citep{zou2023universal} proposes a discrete token optimization algorithm and selects the single suffix with the lowest loss to successfully jailbreak aligned LLMs. In this work, we first discuss the drawbacks of solely picking the suffix with the lowest loss during GCG optimization for jailbreaking and uncover the missed successful suffixes during the intermediate steps. Moreover, we utilize those successful suffixes as training data to learn a generative model, named AmpleGCG, which captures the distribution of adversarial suffixes given a harmful query and enables the rapid generation of hundreds of suffixes for any harmful queries in seconds. AmpleGCG achieves near 100\% attack success rate (ASR) on two aligned LLMs (Llama-2-7B-chat and Vicuna-7B), surpassing two strongest attack baselines. More interestingly, AmpleGCG also transfers seamlessly to attack different models, including closed-source LLMs, achieving a 99\% ASR on the latest GPT-3.5. To summarize, our work amplifies the impact of GCG by training a generative model of adversarial suffixes that is universal to any harmful queries and transferable from attacking open-source LLMs to closed-source LLMs. In addition, it can generate 200 adversarial suffixes for one harmful query in only 4 seconds, rendering it more challenging to defend.","Thu, 11 Apr 2024 17:05:50 UTC","대형 언어 모델의 안전을 보장하는 것이 중요한 가운데, GCG 최적화를 통해 적대적 접미사를 생성하는 새로운 방법을 소개한 연구에서, 적대적 접미사를 생성하는 일반적이고 전이 가능한 생성 모델인 AmpleGCG를 제안하고 성공적인 공격 성공률을 달성했다.","['large language models', 'safety', 'GCG optimization', 'adversarial suffixes', 'generative model', 'attack success rate', 'transferability.']"
39,39,39,High-Dimension Human Value Representation in Large Language Models,"['Samuel Cahyawijaya', 'Delong Chen', 'Yejin Bang', 'Leila Khalatbari', 'Bryan Wilie', 'Ziwei Ji', 'Etsuko Ishii', 'Pascale Fung']","The widespread application of Large Language Models (LLMs) across various tasks and fields has necessitated the alignment of these models with human values and preferences. Given various approaches of human value alignment, ranging from Reinforcement Learning with Human Feedback (RLHF), to constitutional learning, etc. there is an urgent need to understand the scope and nature of human values injected into these models before their release. There is also a need for model alignment without a costly large scale human annotation effort. We propose UniVaR, a high-dimensional representation of human value distributions in LLMs, orthogonal to model architecture and training data. Trained from the value-relevant output of eight multilingual LLMs and tested on the output from four multilingual LLMs, namely LlaMA2, ChatGPT, JAIS and Yi, we show that UniVaR is a powerful tool to compare the distribution of human values embedded in different LLMs with different langauge sources. Through UniVaR, we explore how different LLMs prioritize various values in different languages and cultures, shedding light on the complex interplay between human values and language modeling.","Thu, 11 Apr 2024 16:39:00 UTC",": Large Language Models (LLMs), human values, UniVaR, multilingual LLMs, language sources, human values alignment.

한국어 요약: 다양한 작업과 분야에서 대규모 언어 모델 (LLMs)의 광범위한 응용은 이러한 모델을 인간의 가치와 선호도에 맞추는 필요성을 제기하고 있습니다. UniVaR이라는 고차원 표현을 제안하여 다양한 LLMs에 내장된 인간 가치의 분포를 비교하는 강력한 도구임을 보여주며, 이를 통해 다양한 언어와 문화에서 다른 가치를 우선시하는 LLMs의 복잡한 상호작용을 밝히고 있습니다.","['Large Language Models (LLMs)', 'human values', 'UniVaR', 'multilingual LLMs', 'language sources', 'human values alignment.']"
40,40,40,Guiding Large Language Models to Post-Edit Machine Translation with Error Annotations,"['Dayeon Ki', 'Marine Carpuat']","Machine Translation (MT) remains one of the last NLP tasks where large language models (LLMs) have not yet replaced dedicated supervised systems. This work exploits the complementary strengths of LLMs and supervised MT by guiding LLMs to automatically post-edit MT with external feedback on its quality, derived from Multidimensional Quality Metric (MQM) annotations. Working with LLaMA-2 models, we consider prompting strategies varying the nature of feedback provided and then fine-tune the LLM to improve its ability to exploit the provided guidance. Through experiments on Chinese-English, English-German, and English-Russian MQM data, we demonstrate that prompting LLMs to post-edit MT improves TER, BLEU and COMET scores, although the benefits of fine-grained feedback are not clear. Fine-tuning helps integrate fine-grained feedback more effectively and further improves translation quality based on both automatic and human evaluation.","Thu, 11 Apr 2024 15:47:10 UTC","번역, 대형 언어 모델, 지도 학습 시스템, 품질 측정, 후편집, 피드백, 중국어-영어, 영어-독일어, 영어-러시아어.

요약: 이 연구는 대형 언어 모델과 지도 학습 기계 번역 시스템의 보완적인 강점을 활용하여, 외부 피드백을 통해 LLMs가 MT를 자동으로 후편집하도록 유도하는 방법을 제시하고, 중국어-영어, 영어-독일어, 영어-러시아어 MQM 데이터를 활용한 실험을 통해 번역 품질을 향상시킬 수 있음을 입증하였습니다.","['역', '대형 언어 모델', '지도 학습 시스템', '품질 측정', '후편집', '피드백', '중국어-영어', '영어-독일어', '영어-러시아어.']"
